method,config,clip_number,private_test,n_tracks,n_player_tracks,longest_track_frac,n_fragments,auto_flag
bytetrack,baseline-matched,51,false,28,27,0.9903,10,ok
bytetrack,baseline-matched,52,true,23,21,0.9868,5,ok
bytetrack,baseline-matched,53,false,26,24,0.9834,7,ok
bytetrack,baseline-matched,54,true,38,37,0.9911,16,ok
bytetrack,baseline-matched,55,true,39,38,0.9878,16,ok
bytetrack,baseline-matched,56,true,30,29,0.9883,12,ok
bytetrack,baseline-matched,57,false,25,23,0.9903,5,ok
bytetrack,baseline-matched,58,false,19,18,0.9829,4,ok
bytetrack,baseline-matched,59,false,20,18,0.9856,4,ok
bytetrack,baseline-matched,60,false,24,23,0.9773,6,ok
bytetrack,baseline-matched,61,false,21,20,0.9892,5,ok
bytetrack,defaults,1,false,32,31,0.9968,12,ok
bytetrack,defaults,2,false,30,29,0.9965,5,ok
bytetrack,defaults,3,false,22,20,0.9971,4,ok
bytetrack,defaults,4,false,28,28,0.9957,10,ok
bytetrack,defaults,5,true,31,31,0.9972,11,ok
bytetrack,defaults,6,true,28,27,0.9963,7,ok
bytetrack,defaults,7,true,45,44,0.9979,28,fragmented
bytetrack,defaults,8,false,49,49,0.9973,24,ok
bytetrack,defaults,9,false,29,28,0.997,5,ok
bytetrack,defaults,10,false,25,23,0.9955,5,ok
bytetrack,defaults,11,true,20,18,0.9972,4,ok
bytetrack,defaults,12,false,28,28,0.9937,6,ok
bytetrack,defaults,13,false,22,21,0.9955,11,ok
bytetrack,defaults,14,false,27,26,0.9977,11,ok
bytetrack,defaults,15,true,38,38,0.9974,16,ok
bytetrack,defaults,16,true,43,42,0.9972,23,fragmented
bytetrack,defaults,17,false,32,31,0.9974,11,ok
bytetrack,defaults,18,false,23,21,0.9965,3,ok
bytetrack,defaults,19,false,34,32,0.9979,13,ok
bytetrack,defaults,20,false,25,23,0.9977,8,ok
bytetrack,defaults,21,true,24,23,0.9913,10,ok
bytetrack,defaults,22,true,33,32,0.9958,11,ok
bytetrack,defaults,23,false,37,36,0.9971,24,fragmented
bytetrack,defaults,24,false,19,18,0.9966,2,ok
bytetrack,defaults,25,false,29,27,0.9981,8,ok
bytetrack,defaults,26,false,18,16,0.9964,6,ok
bytetrack,defaults,27,false,28,27,0.9948,7,ok
bytetrack,defaults,28,true,25,23,0.9956,6,ok
bytetrack,defaults,29,false,31,30,0.9975,14,ok
bytetrack,defaults,30,false,24,23,0.9975,9,ok
bytetrack,defaults,31,false,32,30,0.997,13,ok
bytetrack,defaults,32,false,24,23,0.9972,7,ok
