arm,competition_tier,n,logloss,naive_logloss,improvement
without_hc,mixed-other,16239,0.9550542077588267,1.0033834171611031,0.048329209402276474
without_hc,womens-international,1271,0.8941467711062777,0.9149243110204996,0.020777539914221932
without_hc,__pooled__,17510,0.9506331139846753,0.9981084600663415,0.04747534608166615
with_hc,mixed-other,22272,0.9416006584547307,0.9927421900384535,0.05114153158372281
with_hc,womens-international,1271,0.8925562420528041,0.9149243110204996,0.022368068967695498
with_hc,__pooled__,23543,0.9389529307544867,0.9891343828493785,0.050181452094891776
