arm,competition_tier,n,logloss,naive_logloss,improvement
without_hc,mixed-other,16277,0.37055640409637514,0.6905836144117208,0.32002721031534564
without_hc,womens-international,1250,0.6658244540375228,0.6928962795754753,0.02707182553795251
without_hc,__pooled__,17527,0.3916144894747305,0.6908288702754031,0.2992143808006726
with_hc,mixed-other,22338,0.35630821348292424,0.6901867375891082,0.33387852410618396
with_hc,womens-international,1250,0.6788447682964688,0.6928962795754753,0.014051511279006501
with_hc,__pooled__,23588,0.37340040839207,0.6904051422221175,0.31700473383004746
