arm,source,n_plays,logloss,naive_logloss,improvement
without_hc,ifaf,1271,0.8941467711062777,0.9149243110204996,0.020777539914221932
without_hc,legacy,3219,0.970667024152275,1.0070829536091652,0.036415929456890206
without_hc,legacy-sportapp,13020,0.9511941727380502,1.002018572010457,0.050824399272406895
without_hc,__pooled__,17510,0.9506331139846753,0.9981084600663415,0.04747534608166615
with_hc,hc_workbook:offense-analytics-2026-camps-and-competitions:data,957,0.9637879502810696,0.9985727138215683,0.03478476354049875
with_hc,hc_workbook:scoring-probability-by-situation-2023-2026:data,5076,0.8990944857066729,0.9397621469046249,0.040667661197951954
with_hc,ifaf,1271,0.8925562420528041,0.9149243110204996,0.022368068967695498
with_hc,legacy,3219,0.9676861279810582,1.0070829536091652,0.03939682562810698
with_hc,legacy-sportapp,13020,0.9500921306656438,1.002018572010457,0.05192644134481328
with_hc,__pooled__,23543,0.9389529307544867,0.9891343828493785,0.050181452094891776
