model,arm,run_id,experiment,n_plays,n_folds,logo_wall_seconds,training_data_sha256,metric_name,metric_value,naive_metric_name,naive_value,logloss_improvement,corpus_fingerprint,git_commit,ablation_corpus_fingerprint
ep,without_hc,c27b3a82c558497fad5cca958742dcac,ep_model,17510,231,557.791,16a170cfc6281f33ff001c155a7a5e6814e7345f9d4a2448177d5189decd5e4c,logo_mlogloss,0.9506331139846753,naive_mlogloss,0.9981084600663415,0.04747534608166615,dbaa815e45080af032169235b4a3ab35aa177dbf04cf64acd3c2b990f766b052,f470974e093f2a47aea7c4b066b24d0e80440c70,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd
ep,with_hc,efd9fd3dc457431d917fd6ce59788305,ep_model,23543,322,821.995,69fda35cf33ff1a2d142f9df97084d4dffdc39fd852864fada6fbf4a9a897ab0,logo_mlogloss,0.9389529307544867,naive_mlogloss,0.9891343828493785,0.050181452094891776,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd,ce7abce79079eb116445bc73a0633927a8489fea,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd
wp,without_hc,90a9da207ff5439e94d3f8ca4d30d29d,wp_model,17527,231,78.934,d84ddcef660e189322388ef2d113bd86b37f429c0da456d0f9e43f6c50cfd5a2,logo_logloss,0.3916144894747305,naive_logloss,0.6908288702754031,0.2992143808006726,dbaa815e45080af032169235b4a3ab35aa177dbf04cf64acd3c2b990f766b052,ce7abce79079eb116445bc73a0633927a8489fea,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd
wp,with_hc,3b7d571c3f004858b87729ef7b92c30c,wp_model,23588,322,98.586,972000f1318bcfe1bc6040260fccb36d156db18cae2c2a94bebbf758ad874d0d,logo_logloss,0.37340040839207,naive_logloss,0.6904051422221175,0.31700473383004746,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd,ce7abce79079eb116445bc73a0633927a8489fea,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd
