model,arm,run_id,experiment,n_plays,n_folds,logo_wall_seconds,training_data_sha256,metric_name,metric_value,naive_metric_name,naive_value,logloss_improvement,corpus_fingerprint,git_commit
ep,without_hc,e186af941262407696ce7493f5920fc7,ep_model,17730,231,194.243,1b1a17927c72d8d3a95bbee159d7351f10b26ab63a6b31e145c013005ac37681,logo_mlogloss,0.9523008050799734,naive_mlogloss,1.002011289777372,0.049710484697398694,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd,82ae8cc88908283094dde036def7a883f1b5214a
ep,with_hc,97259da7acaf43f3b2c65e59f7f11694,ep_model,24094,323,281.89,a04d29eb3601ed2cd5333c294138bc687ef7c676299785b06edef49fecff4f04,logo_mlogloss,0.9426594943967637,naive_mlogloss,0.9942693904524077,0.05160989605564403,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd,82ae8cc88908283094dde036def7a883f1b5214a
wp,without_hc,84120926c81b49be828f5ad94c89ca76,wp_model,17978,231,38.058,d12eafa65564f9a79fd69d81d11e37725579fcbc7b0c0ee32612544b98b4643b,logo_logloss,0.3920826464707546,naive_logloss,0.6913550428721418,0.2992723964013872,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd,82ae8cc88908283094dde036def7a883f1b5214a
wp,with_hc,2c8c249d295d4ce9a2845800c459c153,wp_model,24705,323,53.917,6031cfb96a07ac42ada494569431651b1eefbb8f27c073fd7b3438046a2802f1,logo_logloss,0.37235034364966085,naive_logloss,0.691565809396949,0.31921546574728815,ae1f014022b4588ed33c7f31894e96a78e87fa1ef62c4e66201162f62b1b6dcd,82ae8cc88908283094dde036def7a883f1b5214a
