arm,source,n_plays,logloss,naive_logloss,improvement
without_hc,ifaf,1332,0.6964740026741049,0.6931189989607225,-0.0033550037133823762
without_hc,legacy,3583,0.34596823442881547,0.6930683103796792,0.34710007595086373
without_hc,legacy-sportapp,13063,0.37369319932104966,0.6900895946217961,0.3163963953007464
without_hc,__pooled__,17978,0.3920826464707546,0.6913550428721418,0.2992723964013872
with_hc,hc_workbook:offense-analytics-2026-camps-and-competitions:data,1097,0.30633475474422917,0.6791676940901521,0.37283293934592293
with_hc,hc_workbook:scoring-probability-by-situation-2023-2026:data,5630,0.34786446419259087,0.6892613867598448,0.34139692256725396
with_hc,ifaf,1332,0.6892864909722063,0.6931189989607225,0.0038325079885161983
with_hc,legacy,3583,0.34589817868456796,0.6930683103796792,0.34717013169511124
with_hc,legacy-sportapp,13063,0.3633856158848946,0.6900895946217961,0.3267039787369015
with_hc,__pooled__,24705,0.37235034364966085,0.691565809396949,0.31921546574728815
