down,distance_bin,field_half,hc_published_sp,hc_published_n,hc_published_ep,hc_recomputed_n,hc_recomputed_sp,hc_recomputed_thin,ours_n,ours_sp,ours_thin,model_ep,model_n,missing_in,abs_diff_hc_vs_model,abs_diff_hc_published_vs_hc_recomputed
1,1,opponent,0.9545454545,22,5.727272727,8,1.0,true,60,0.8833333333333333,false,4.610548320798176,68,,1.1167244062018238,0.045454545500000054
1,2,opponent,0.85,20,5.1,9,0.7777777777777778,true,39,0.8974358974358975,false,4.600798701639481,48,,0.49920129836051874,0.07222222222222219
1,3,opponent,0.9444444444,18,5.666666667,10,0.8,true,53,0.8679245283018868,false,4.579928800687267,63,,1.086737866312733,0.14444444439999993
1,4,opponent,0.8695652174,23,5.217391304,14,0.9285714285714286,true,42,0.9285714285714286,false,4.526926045879788,56,,0.690465258120212,0.05900621117142857
1,5,opponent,0.8965517241,29,5.379310345,9,0.8888888888888888,true,59,0.8305084745762712,false,4.253387901171878,68,,1.1259224438281228,0.0076628352111111075
1,6,opponent,1.0,21,6.0,11,1.0,true,49,0.8979591836734694,false,4.3948300813266545,60,,1.6051699186733455,0.0
1,7,opponent,0.8333333333,30,5.0,12,0.75,true,40,0.925,false,4.327584171443995,51,,0.6724158285560051,0.08333333330000003
1,8,opponent,1.05,40,6.3,17,0.8823529411764706,true,58,0.8793103448275862,false,4.302572886695464,75,,1.9974271133045356,0.16764705882352948
1,9,opponent,0.7857142857,28,4.714285714,9,1.0,true,51,0.8823529411764706,false,4.135805779476097,59,,0.5784799345239025,0.21428571429999999
1,10,opponent,0.7746478873,71,4.647887324,50,0.8,false,86,0.813953488372093,false,3.985603997538582,134,,0.6622833264614179,0.02535211270000004
1,11,opponent,0.7173913042999999,46,4.304347826,26,0.6923076923076923,true,84,0.7976190476190477,false,3.912295791139412,108,,0.3920520348605878,0.025083611992307575
1,12,opponent,0.7857142857000001,42,4.714285714,23,0.8695652173913043,true,60,0.85,false,3.937704366216638,83,,0.7765813477833619,0.0838509316913042
1,13,opponent,0.9090909091,33,5.454545455,22,0.7272727272727273,true,66,0.7727272727272727,false,3.8969906566595784,88,,1.5575547983404214,0.18181818182727272
1,14,opponent,0.8039215686,51,4.823529412,24,0.7916666666666666,true,66,0.8181818181818182,false,3.8761225467133853,90,,0.9474068652866148,0.01225490193333334
1,15+,opponent,0.6521335807071428,1078,3.9128014843487935,561,0.661319073083779,false,1688,0.669431279620853,false,2.746696039625644,2238,,1.1661054447231494,0.00918549237663624
2,1,opponent,0.9166666667,36,5.5,14,1.0,true,63,0.8888888888888888,false,4.63411059002271,77,,0.8658894099772896,0.08333333330000003
2,2,opponent,0.90625,32,5.4375,12,0.9166666666666666,true,47,0.9574468085106383,false,4.61293630107006,59,,0.8245636989299401,0.01041666666666663
2,3,opponent,0.8648648649,37,5.189189189,21,0.9047619047619048,true,59,0.9152542372881356,false,4.586226356960833,80,,0.6029628320391671,0.03989703986190474
2,4,opponent,0.825,40,4.95,16,0.875,true,59,0.847457627118644,false,4.473306025732309,75,,0.47669397426769144,0.050000000000000044
2,5,opponent,0.8611111111,36,5.166666667,18,0.8888888888888888,true,71,0.8309859154929577,false,4.109626995564407,89,,1.057039671435593,0.02777777778888879
2,6,opponent,0.914893617,47,5.489361702,29,0.9310344827586207,true,77,0.8831168831168831,false,4.243450587794983,105,,1.2459111142050174,0.016140865758620615
2,7,opponent,1.021276596,47,6.127659574,23,0.7391304347826086,true,56,0.875,false,4.038091014587105,78,,2.0895685594128945,0.28214616121739144
2,8,opponent,0.8,50,4.8,29,0.8620689655172413,true,74,0.8243243243243243,false,4.0038420160988215,103,,0.7961579839011783,0.06206896551724128
2,9,opponent,0.78,50,4.68,23,0.7391304347826086,true,92,0.7282608695652174,false,3.5994257781360495,114,,1.0805742218639502,0.04086956521739138
2,10,opponent,0.8035714286,56,4.821428571,33,0.8484848484848485,false,101,0.8316831683168316,false,3.591846820017799,133,,1.2295817509822013,0.04491341988484854
2,11,opponent,0.7058823529,51,4.235294118,24,0.6666666666666666,true,87,0.7126436781609196,false,3.2149549305626968,109,,1.020339187437303,0.03921568623333338
2,12,opponent,0.7058823529,51,4.235294118,41,0.6829268292682927,false,73,0.726027397260274,false,3.1838646001946342,114,,1.0514295178053654,0.022955523631707275
2,13,opponent,0.6779661017,59,4.06779661,33,0.6666666666666666,false,88,0.7159090909090909,false,3.0246672015598355,120,,1.0431294084401648,0.011299435033333416
2,14,opponent,0.7538461538,65,4.523076923,27,0.8518518518518519,true,94,0.648936170212766,false,3.0030236749867485,121,,1.5200532480132511,0.09800569805185189
2,15+,opponent,0.4964539007150709,564,2.978723404258865,283,0.5618374558303887,false,817,0.5936352509179926,false,2.132686396580152,1091,,0.8460370076787131,0.06538355511531779
3,1,opponent,0.8837209301999999,43,5.302325581,25,0.92,true,61,0.8852459016393442,false,4.483891615540008,85,,0.8184339654599917,0.036279069800000174
3,2,opponent,0.9729729729999999,37,5.837837838,16,1.0,true,60,0.9,false,4.4491131578578385,74,,1.388724680142161,0.027027027000000148
3,3,opponent,0.8363636364,55,5.018181818000001,47,0.8723404255319149,false,63,0.8888888888888888,false,4.370648861709655,108,,0.6475329562903465,0.03597678913191493
3,4,opponent,0.7959183673,49,4.775510204,22,0.8181818181818182,true,77,0.8311688311688312,false,4.134315401118136,99,,0.6411948028818637,0.022263450881818247
3,5,opponent,0.8064516129,31,4.838709677,19,0.8421052631578947,true,65,0.7538461538461538,false,3.484942494162602,84,,1.3537671828373976,0.03565365025789469
3,6,opponent,0.8035714286,56,4.821428571,66,0.8939393939393939,false,70,0.7285714285714285,false,3.6449760108696543,136,,1.176452560130346,0.09036796533939395
3,7,opponent,0.9215686275,51,5.529411765,26,0.7307692307692307,true,59,0.7966101694915254,false,3.4114625314694074,84,,2.1179492335305925,0.1907993967307693
3,8,opponent,0.8,50,4.8,19,0.8421052631578947,true,77,0.6883116883116883,false,3.2642262696123603,96,,1.5357737303876395,0.042105263157894646
3,9,opponent,0.5918367347,49,3.551020408,23,0.5217391304347826,true,94,0.6170212765957447,false,2.667045659124931,117,,0.8839747488750689,0.07009760426521738
3,10,opponent,0.6346153846,52,3.807692308,28,0.75,true,68,0.6617647058823529,false,2.667208704237189,95,,1.140483603762811,0.1153846154
3,11,opponent,0.5178571429,56,3.107142857,27,0.48148148148148145,true,61,0.5901639344262295,false,2.309964535977349,87,,0.7971783210226508,0.0363756614185185
3,12,opponent,0.4285714286,42,2.571428571,20,0.55,true,47,0.6808510638297872,false,2.3122239062256775,67,,0.2592046647743227,0.12142857140000002
3,13,opponent,0.4390243902,41,2.634146341,23,0.5217391304347826,true,66,0.6363636363636364,false,2.1474053603438237,88,,0.48674098065617644,0.08271474023478259
3,14,opponent,0.4,40,2.4,19,0.42105263157894735,true,63,0.6349206349206349,false,2.071202918316703,80,,0.3287970816832968,0.021052631578947323
3,15+,opponent,0.30384615383846153,260,1.8230769229819233,126,0.4365079365079365,false,400,0.48,false,1.4225844429444385,523,,0.4004924800374847,0.13266178266947498
4,1,opponent,0.8333333333,30,5.0,13,0.8461538461538461,true,61,0.8360655737704918,false,3.7702426227473027,73,,1.2297573772526973,0.012820512853846111
4,2,opponent,0.7333333333,30,4.4,13,0.7692307692307693,true,67,0.8059701492537313,false,3.7596691516765324,78,,0.640330848323468,0.03589743593076933
