game_id,home_team,away_team,home_score,away_score,note
2025-09-27_AUT-vs-UKR_EC25,AUT,UKR,41,7,operator-supplied score at seeding checkpoint
2025-09-27_SLO-vs-ITA_EC25,SLO,ITA,20,7,operator-supplied score at seeding checkpoint
