team_id,team_name,player_id,player_name,player_jersey,position,club
13,Italy,513,Jirjena Renate,9,DB,Mad Dogs Milano
13,Italy,514,Latera Laura,8,DB,Skorpions Varese
13,Italy,515,Marcucci Martika,16,DB,FIDAF
13,Italy,516,Mengo Marta,54,WR,Lions Bergamo
13,Italy,517,Petrillo Sofia,11,QB,Skorpions Varese
13,Italy,518,Privitera Giulia,14,DB,Elephants Catania
13,Italy,519,Radisavljević Aleksandra,93,WR,Skorpions Varese
13,Italy,520,Zocca Giada,99,DB,Panthers Parma
14,Denmark,389,Louise Pii Frederiksen,11,S,Nørrebronx Næbdyr
14,Denmark,390,Clara Stroustrup Hansen,5,C,Copenhagen Raptors
14,Denmark,391,Clara Adda Bernth Hedvall,1,WR,Slagelse Wolfpack
14,Denmark,392,Maria Kristiansen,18,CB,Aarhus Tigers
14,Denmark,393,Kamma Astrid Faber Mygind,0,QB,Copenhagen Raptors
14,Denmark,394,Cecilie Aarup Nielsen,33,B,Schwäbisch Hall Unicorns
14,Denmark,395,Freja Jøhnke Overby,23,WR,Schwäbisch Hall Unicorns
14,Denmark,396,Laura Anne Poyner-Rasmussen,6,WR,Triangle Razorbacks
14,Denmark,397,Katarina Hviid Skjellerup,15,WR,Copenhagen Raptors
14,Denmark,398,Kamille Lisborg Sommer,37,CB,Copenhagen Raptors
14,Denmark,399,Maja Lisborg Sommer,24,S,Copenhagen Raptors
14,Denmark,400,Luna Schytz Wolf,2,WR,Triangle Razorbacks
15,Korea,473,Jiho Kim,8,Center/RB,Korea Raptors
15,Korea,474,Hyebin Park,9,WR/QB/DB,Korea Raptors
15,Korea,475,Minju Kim,10,WR/QB,Yonsei Eagles
15,Korea,476,Woo Jung Kwon,11,RB/WR,Korea Raptors
15,Korea,477,Yoonkyung Yoo,13,Center/DB,Korea Raptors
15,Korea,478,Minjung Yoon,14,DB,Dongtan Hawkeyes
15,Korea,479,Soyun Lee,17,Rusher/DB,Korea Raptors
15,Korea,480,Ga Eun Suh,19,RB/Rusher,Korea Raptors
15,Korea,481,Sung Eun Jeong,22,WR/DB,Korea Raptors
15,Korea,482,Woojung Kwak,29,DB,Korea Raptors
15,Korea,483,Seorin Kang,30,DB/WR,Korea Raptors
15,Korea,484,Hyojin Pak,43,QB,Korea Raptors
16,Japan,449,Akari Uematsu,1,DB/S,HYPERION TOKYO
16,Japan,450,Koyuki Morinaga,2,C/WR,HYPERION TOKYO
16,Japan,451,Asahi Kanatani,5,DB/LB,SENRIYAMA BLACK JAGUARS LADIES
16,Japan,452,Yurika Omi,7,WR/QB,BLUE ROSES
16,Japan,453,Yuri Nakahata,9,WR/C,UNKNOWNS
16,Japan,454,Chihiro Iwata,10,QB/WR,KANSAS WESLEYAN UNIVERSITY
16,Japan,455,Miyuna Yamamoto,11,S/DB,SENRIYAMA BLACK JAGUARS LADIES
16,Japan,456,Akari Kitazaki,14,LB/DB,HYPERION TOKYO
16,Japan,457,Tomoko Higuchi,21,DB/LB,SENRIYAMA BLACK JAGUARS LADIES
16,Japan,458,Tomoyo Yagi,22,WR/QB,BLUE ROSES
16,Japan,459,Renka Saito,40,DB/LB,HYPERION TOKYO
16,Japan,460,Fuyuki Hamaguchi,88,WR,SHOWTIME (USA)
17,Germany,485,Anja Pietryga,77,C,""
17,Germany,486,Anne Streil,2,DB/B,""
17,Germany,487,Dora Jung,27,DB,""
17,Germany,488,Hannah Bahn,17,DB,""
17,Germany,489,Jessica Macharia,84,B/DB,""
17,Germany,490,Kristin Adrian,87,WR,""
17,Germany,491,Kyra Fischer,7,WR/DB,""
17,Germany,492,Pia Schwarz,26,WR/C,""
17,Germany,493,Saskia Macharia,9,DB,""
17,Germany,494,Saskia Nühse,30,QB/WR,""
17,Germany,495,Stefanie Thiele,11,QB,""
17,Germany,496,Zoe Song,82,DB,""
18,Brazil,317,Karoline Souza,21,Athlete,Caipiras
18,Brazil,318,Taísa Alencar,29,Athlete,Cobrarés
18,Brazil,319,Amanda Boabaid,8,Athlete,Desterro Atlantis
18,Brazil,320,Ellen Bruna Limeira de Alencar,83,Athlete,Sweet Heat
18,Brazil,321,Thamires Soares Q. de Abreu,25,Athlete,Vasco Almirantes
18,Brazil,322,Gabriela Felipe Bankhardt,77,Athlete,Desterro Atlantis
18,Brazil,323,Lara Ferraz Torelli,7,Athlete,Vasco Almirantes
18,Brazil,324,Fernanda Justino de Souza,0,Athlete,Parnamirim Scorpions
18,Brazil,325,Ester Biss de Alencar,12,Athlete,Rio Preto Weilers
18,Brazil,326,Karolyne Priscyla dos Santos,3,Athlete,Vasco Almirantes
18,Brazil,327,Pamela Peres Soares,16,Athlete,Vasco Almirantes
18,Brazil,328,Lara Rodrigues Nesralla,82,Athlete,Vasco Almirantes
19,Finland,329,Amanda Rouhiainen,1,DB,Turku Trojans
19,Finland,330,Anni Udd,5,DB/Blitz,Kouvola Indians
19,Finland,331,Essi Saastamoinen,8,C/Blitz,Turku Trojans
19,Finland,332,Heta Rantanen,9,DB,Helsinki Flag Football
19,Finland,333,Inka Heikkinen,2,WR,Jyväskylä Jaguars
19,Finland,334,Laura Karhu,12,DB,free agent
19,Finland,335,Lea Kaszas,7,QB,Turku Trojans
19,Finland,336,Lotta Ahonen,14,WR,Tampere Saints
19,Finland,337,Lotta Wulff,4,QB/WR,Turku Trojans
19,Finland,338,Miina Laukkanen,10,DB/WR,Tampere Saints
19,Finland,339,Tiia Jansen,16,WR,Turku Trojans
19,Finland,340,Veera Levijoki,13,DB/C,Helsinki Flag Football
20,Poland,925,Anna Bąk,1,C/WR,""
20,Poland,926,Aleksandra Chojnacka,2,DB,Warsaw Sirens
20,Poland,927,Katarzyna Dziklińska,3,WR,""
20,Poland,928,Gabriela Habrat,6,DB,""
20,Poland,929,Justyna Hołownia-Malinowska,4,DB,Warsaw Sirens
20,Poland,930,Anna Jędrasik,5,DB,Warsaw Sirens
20,Poland,931,Magdalena Lonc,7,WR,Warsaw Sirens
20,Poland,932,Aniela Machowska,8,WR,Warsaw Sirens
20,Poland,933,Katarzyna Malarek,9,QB,Warsaw Sirens
20,Poland,934,Dominika Pławińska,10,Db,SAKIS Kolbudy
20,Poland,935,Jolanta Sampławska,11,QB,Warsaw Sirens
20,Poland,936,Monika Skiba,12,DB,Warsaw Sirens
21,Great Britain,497,Phoebe Schechter,16,"",""
21,Great Britain,498,Amy Wells,4,"",""
21,Great Britain,499,Brittany Botterill,19,"",""
21,Great Britain,500,Grace Conway,5,"",""
21,Great Britain,501,Ellie Thorpe,9,"",""
21,Great Britain,502,Emily Kemp,15,"",""
21,Great Britain,503,Kate Bruinvels,24,"",""
21,Great Britain,504,Natasha Linton,13,"",""
21,Great Britain,505,Lottie Laidler,2,"",""
21,Great Britain,506,Emma Dedicoat,12,"",""
21,Great Britain,507,Marta Mathews,11,"",""
21,Great Britain,508,Sarah Wakelin,32,"",""
22,Panama,401,Alejandra Sucre,10,WR/R,Honey Badgers
22,Panama,402,Ana Paula De Leon,44,DB,Boomers
22,Panama,403,Angeline Bunting,13,WR/DB,WARNER UNIVERSITY
22,Panama,404,Arlen Hernandez,1,WR/LB,LUCKY ONES
22,Panama,405,Clarisse Castillo,80,WR,LUCKY ONES
22,Panama,406,Karla Holder,50,DB,MONSTERS
22,Panama,407,Leslie Del cid,3,DR/WR,LUCKY ONES
22,Panama,408,Maria Gallimore,6,DB/WR,LUCKY ONES
22,Panama,409,Marian Torrero,11,R,HONEY BADGERS
22,Panama,410,Melanie Ponce,4,QB,EL BLOQUE
22,Panama,411,Orlanda Castro,7,QB,LUCKY ONES
22,Panama,412,Tatiana Dos santos,8,WR/DB,OTTAWA UNIVERSITY
23,Czechia,413,Evelína Adámková,13,DB,Brno Sígrs
23,Czechia,414,Michaela Bajerová,21,DB,Prague Black Panthers
23,Czechia,415,Kristýna Červenková,10,DB,Příbram Bobcats
23,Czechia,416,Karolína Chmelíková,2,WR,Prague Black Panthers
23,Czechia,417,Anna Dvořáková,1,WR/QB,Brno Sígrs
23,Czechia,418,Alena Francúzová,19,DB,Brno Amazons
23,Czechia,419,Markéta Gotschalková,12,WR,Prague Black Panthers
23,Czechia,420,Kamila Ludlová,87,C,Brno Sígrs
23,Czechia,421,Alžběta Nečasová,3,QB,Prague Black Panthers
23,Czechia,422,Michaela Němcová,16,DB,Příbram Bobcats
23,Czechia,423,Sabina Pokorná,11,DB,Prague Black Panthers
23,Czechia,424,Nikola Vokurková,20,WR,Příbram Bobcats
24,Israel,293,Rachel Shmidman,6,C,AFI
24,Israel,294,Merav Green,4,QB,AFI
24,Israel,295,Rivkah Weinberg,17,WR,AFI
24,Israel,296,Ella Finzi,2,DB\WR,AFI
24,Israel,297,Jordana Weinberg,22,DB\WR,AFI
24,Israel,298,Ofir Avisar,23,DB\WR,AFI
24,Israel,299,Sarah Meisenberg,24,DB\WR,AFI
24,Israel,300,Chana Kaplan,3,DB\WR,AFI
24,Israel,301,Amit Malka,11,DB\WR,AFI
24,Israel,302,Yara Elhaj,13,DB\WR,AFI
24,Israel,303,Yaara Gilan,7,R,AFI
24,Israel,304,Leila Deluty,34,DB\WR,AFI
25,Austria,377,Bianca Peham,3,Blitzer,Amstetten Thunder
25,Austria,378,Jasmin Gruner-Straka,12,DB,Vienna Dark Angels
25,Austria,379,Daniela Hader,8,DB,Amstetten Thunder
25,Austria,380,Katrin Mansbart,6,C,Vienna Constables
25,Austria,381,Magdalena Helm,4,WR,Amstetten Thunder
25,Austria,382,Annika Wendschlag,7,DB,Vienna Constables
25,Austria,383,Karoline Kugler,16,WR,Amstetten Thunder
25,Austria,384,Sophie Spitzer,17,DB,DeLaSalle Saints
25,Austria,385,Saskia Stribrny,10,QB,DeLaSalle Saints
25,Austria,386,Sophie Lisa Einfal,22,DB,Vienna Constables
25,Austria,387,Anna Valenta,13,WR,Vienna Dark Angels
25,Austria,388,Franzisca Tabitha Sottner,1,WR,Vienna Constables
26,Spain,365,María Vidal,1,CB/BLITZ,Gijón Mariners
