source_game_id,competition,season,note
1042,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1043,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1044,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1045,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1047,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1048,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1049,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1050,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1051,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1052,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1053,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1054,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1055,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1056,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1057,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1058,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1059,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1060,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1061,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1062,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1063,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1064,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1065,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1066,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1067,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1068,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1074,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1075,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1076,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1077,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1078,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1079,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1080,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1081,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1082,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1083,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1084,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1085,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1086,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1087,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1088,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1089,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1090,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1091,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1092,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1093,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1097,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1098,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1099,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1100,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1101,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1102,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1103,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1104,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1105,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1106,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1107,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1108,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1109,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1110,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1111,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1112,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1113,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1114,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1115,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1116,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1117,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1118,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1123,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1124,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1125,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1126,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1127,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1128,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1129,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1130,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1131,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1132,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1133,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1134,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1137,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1140,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1141,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1142,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1143,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1145,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1146,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1148,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1150,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1151,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1152,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1155,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
1157,FlagWC,2024,"WC24, seeded from data/wc24_pbp.csv on 2026-08-17"
