yards_gained,n,share,hc_explosive
8,877,0.054583929793987684,false
9,789,0.04910686500280078,false
10,806,0.050164934337461886,false
11,536,0.033360303728138425,false
12,385,0.02396215846144271,false
13,314,0.019543163004916913,true
14,263,0.01636895500093359,true
15,235,0.014626252567374123,true
16,212,0.013194746996950273,true
