definition,label_de,scope_note,n,successes,rate,ci_low,ci_high,muted
baseline_hc_workbook,"HC-Workbook Explosive % (Yards > 12, nur Pass)",Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks).,14739,2365,0.16045864712667074,0.15456678131722676,0.16648486180334449,false
baseline_hc_verbal,"HC mündliche Regel (Yards > 12 oder EPA > 0, nur Pass)","Nenner: Pass-Attempts nach Workbook-Formel D2 = Comps + Incs + INTs (ohne Sacks), wie im HC-Workbook (mündliche Regel).",14739,7284,0.4941990637085284,0.4860954436483121,0.5023049744921018,false
success_rate_epa,Success Rate (EPA > 0),Nenner: alle Scrimmage-Plays (Lauf + Pass).,16067,7657,0.47656687620588783,0.4688178144174794,0.4843244247664041,false
explosive_epa_magnitude,Explosiveness (EPA-Magnitude auf Erfolgen),Nenner: alle Scrimmage-Plays (Lauf + Pass).,16067,1535,0.09553743698263521,0.09103452810841631,0.10018737142263408,false
verbal_only_yards_clause,"Nur durch Yards-Klausel ausgeloest (Yards > 12, EPA <= 0)","Anteil an Pass-Attempts mit EPA, die NUR ueber die Yards-Klausel der muendlichen Regel explosive werden (EPA <= 0 auf demselben Play).",14739,84,0.0056991654793405256,0.004548349250063244,0.0070511634989984286,false
hc_efficiency_status,HC Efficiency-Spalte (Data!O) im Korpus vorhanden?,"efficiency column absent from corpus -- HC-charted rows not yet ingested (M3-1 ingests them into plays.parquet, M3-2 rescoring puts them into plays_scored.parquet): hc_efficiency_table: missing required column(s): efficiency (frame columns: ExpPts, No_Score_Prob, Opp_Safety_Prob, Opp_Touchdown_Prob, Safety_Prob, Touchdown_Prob, away_team, away_team_points, away_team_score, away_wp, blitz, competition, complete_pass, coverage, def_front, def_touchdown, defensive_two_point_conv, defteam, defteam_score, description, down, drive_id, drive_success, ep, epa, first_down, game_clock_ms, game_date, game_id, gap, gender, half, half_seconds_remaining, hash_mark, home_team, home_team_points, home_team_score, home_wp, interception, jersey_number, off_form, off_play, off_str, one_point_conv_success, pass_zone, penalty, play_dir, play_id, play_type, player_id, posteam, posteam_after, posteam_score, qb, received_by, result_raw, sack, safety, score_differential, scoring_play, scoring_play_team, season, source, source_game_id, tackle, target, target_route, thrown_by, touchdown, two_point_conv_success, wp, wpa, yac, yardline, yardline_50, yardline_50_after, yardline_50_simple, yards_gained, yards_to_go, yards_to_go_simple) (HC-charted rows are not in the corpus yet)",14739,0,0.0,,,true
