down,distance_bin,field_half,hc_published_sp,hc_published_n,hc_published_ep,hc_recomputed_n,hc_recomputed_sp,hc_recomputed_thin,ours_n,ours_sp,ours_thin,model_ep,model_n,missing_in,abs_diff_hc_vs_model,abs_diff_hc_published_vs_hc_recomputed
1,1-5,opponent,0.9017857143,112,5.410714286,50,0.88,false,232,0.8836206896551724,false,4.505716944050625,282,,0.9049973419493753,0.02178571429999998
1,6-10,opponent,0.8684210526,190,5.210526316,99,0.8484848484848485,false,266,0.8646616541353384,false,4.130305455891167,361,,1.0802208601088328,0.019936204115151512
1,11-15,opponent,0.8173515982,219,4.904109589,114,0.7982456140350878,false,351,0.792022792022792,false,3.833190553919432,463,,1.0709190350805677,0.01910598416491227
1,16-20,opponent,0.7565217391,345,4.539130435,187,0.7379679144385026,false,573,0.7155322862129145,false,3.1047727107606975,755,,1.4343577242393022,0.018553824661497353
1,21-25,opponent,0.5824817518,685,3.494890511,355,0.6056338028169014,false,907,0.6229327453142227,false,2.36762213909937,1256,,1.1272683719006298,0.02315205101690143
1,25+,opponent,1.0,1,6.0,,,,,,,,,ours,,
2,1-5,opponent,0.8729281768,181,5.237569061,81,0.9135802469135802,false,278,0.8848920863309353,false,4.447105280491381,359,,0.7904637805086194,0.040652070113580185
2,6-10,opponent,0.86,250,5.16,137,0.8321167883211679,false,379,0.8126649076517151,false,3.8127609997966374,512,,1.3472390002033627,0.02788321167883212
2,11-15,opponent,0.7064846416,293,4.23890785,160,0.70625,false,430,0.686046511627907,false,2.9914841167521304,585,,1.24742373324787,0.00023464159999997403
2,16-20,opponent,0.5381818182,275,3.229090909,144,0.5972222222222222,false,379,0.6306068601583114,false,2.319959653420536,518,,0.9091312555794642,0.059040404022222215
2,21-25,opponent,0.3921568627,204,2.352941176,104,0.47115384615384615,false,268,0.48880597014925375,false,1.396431289684984,370,,0.9565098863150159,0.07899698345384615
2,25+,opponent,0.3333333333,18,2.0,,,,,,,,,ours,,
3,1-5,opponent,0.8558139535,215,5.134883721,129,0.8837209302325582,false,303,0.8415841584158416,false,4.158173308460221,427,,0.976710412539779,0.027906976732558153
3,6-10,opponent,0.7519379845,258,4.511627907,162,0.7839506172839507,false,347,0.6858789625360231,false,3.1020264735007275,507,,1.4096014334992728,0.03201263278395061
3,11-15,opponent,0.441314554,213,2.647887324,102,0.4803921568627451,false,281,0.5871886120996441,false,2.0572623188709644,378,,0.5906250051290356,0.03907760286274509
3,16-20,opponent,0.3597122302,139,2.158273381,74,0.44594594594594594,false,195,0.5128205128205128,false,1.4674096312966853,267,,0.6908637497033145,0.08623371574594596
3,21-25,opponent,0.2253521127,71,1.352112676,39,0.4358974358974359,false,106,0.37735849056603776,false,0.7259257720542494,145,,0.6261869039457506,0.2105453231974359
3,25+,opponent,0.0,16,0.0,,,,,,,,,ours,,
4,1-5,opponent,0.6272189349,169,3.763313609,79,0.6835443037974683,false,259,0.7104247104247104,false,3.1056770156130673,334,,0.6576365933869326,0.05632536889746831
4,6-10,opponent,0.4161490683,161,2.49689441,94,0.4787234042553192,false,200,0.48,false,1.0346240668600641,292,,1.4622703431399358,0.0625743359553192
4,11-15,opponent,0.2123893805,113,1.274336283,53,0.3584905660377358,false,130,0.38461538461538464,false,0.19161853419433608,183,,1.0827177488056638,0.14610118553773582
4,16-20,opponent,0.09230769231,65,0.5538461538,40,0.4,false,107,0.2897196261682243,false,-0.17955040813841183,145,,0.7333965619384119,0.30769230769
4,21-25,opponent,0.1176470588,34,0.7058823529,19,0.15789473684210525,true,63,0.25396825396825395,false,-0.7724708303820664,81,,1.4783531832820664,0.04024767804210526
4,25+,opponent,0.0,9,0.0,,,,,,,,,ours,,
1,1-5,own,0.6811594203,69,4.086956522,33,0.6666666666666666,false,109,0.7247706422018348,false,3.3520655458007034,141,,0.734890976199297,0.014492753633333355
1,6-10,own,0.641025641,78,3.846153846,37,0.6486486486486487,false,120,0.6416666666666667,false,2.958392038442675,155,,0.8877618075573248,0.00762300764864865
1,11-15,own,0.4347826087,23,2.608695652,13,0.46153846153846156,true,61,0.5573770491803278,false,2.593083770598017,73,,0.015611881401983219,0.026755852838461547
1,16-19,own,0.7391304348,23,4.434782609,11,0.8181818181818182,true,28,0.7142857142857143,true,2.454360999405766,39,,1.980421609594234,0.07905138338181827
1,20,own,0.5208737864,2060,3.125242718,1224,0.5163398692810458,false,3134,0.5354179961710275,false,1.729248635012399,4305,,1.395994082987601,0.004533917118954234
1,20+,own,0.4,40,2.4,16,0.4375,true,162,0.5370370370370371,false,1.6722015298371926,178,,0.7277984701628073,0.03749999999999998
2,1-5,own,0.7094594595,148,4.256756757,80,0.7125,false,275,0.72,false,3.2450776335896427,354,,1.011679123410357,0.003040540500000022
2,6-10,own,0.6535211268,355,3.921126761,203,0.7241379310344828,false,565,0.6707964601769911,false,2.912506797969902,767,,1.0086199630300978,0.0706168042344828
2,11-15,own,0.5387409201,826,3.232445521,448,0.5558035714285714,false,1125,0.5422222222222223,false,1.7246231152498552,1561,,1.5078224057501446,0.017062651328571432
2,16-19,own,0.4322916667,192,2.59375,78,0.4230769230769231,false,228,0.3991228070175439,false,1.024734358131289,306,,1.569015641868711,0.009214743623076949
2,20,own,0.3747228381,451,2.248337029,263,0.3916349809885932,false,682,0.43841642228739003,false,0.7184162423298388,942,,1.5299207866701612,0.016912142888593162
2,20+,own,0.253968254,74,1.523809524,39,0.38461538461538464,false,180,0.35555555555555557,false,0.7837281824625416,219,,0.7400813415374584,0.13064713061538463
3,1-5,own,0.6812227074,458,4.087336245,250,0.664,false,615,0.6699186991869919,false,2.7835900408487007,862,,1.3037462041512997,0.01722270739999998
3,6-10,own,0.4955156951,446,2.97309417,205,0.526829268292683,false,598,0.5234113712374582,false,1.6188825538596676,798,,1.3542116161403324,0.031313573192682964
3,11-15,own,0.3821510297,437,2.292906178,257,0.4396887159533074,false,569,0.4024604569420035,false,0.5819808636202581,824,,1.7109253143797418,0.05753768625330741
3,16-19,own,0.2792792793,111,1.675675676,53,0.33962264150943394,false,130,0.3153846153846154,false,-0.10089514919833004,182,,1.77657082519833,0.060343362209433926
3,20,own,0.1913043478,115,1.147826087,95,0.3473684210526316,false,186,0.25806451612903225,false,-0.3565486452999591,280,,1.5043747322999592,0.1560640732526316
3,20+,own,0.06976744186,43,0.4186046512,25,0.32,true,122,0.32786885245901637,false,-0.042845224827008484,147,,0.4614498760270085,0.25023255814
4,1-5,own,0.4858757062,354,2.915254237,209,0.5119617224880383,false,441,0.5782312925170068,false,1.8849915011609046,645,,1.0302627358390954,0.026086016288038305
4,6-10,own,0.3356401384,289,2.01384083,155,0.432258064516129,false,381,0.3674540682414698,false,0.3365147878156019,534,,1.677326042184398,0.09661792611612902
4,11-15,own,0.174863388,183,1.049180328,98,0.29591836734693877,false,268,0.25,false,-0.8954865931214331,365,,1.9446669211214331,0.12105497934693876
4,16-19,own,0.0612244898,49,0.3673469388,24,0.25,true,70,0.24285714285714285,false,-1.3208613184716311,93,,1.688208257271631,0.1887755102
4,20,own,0.06666666667,45,0.4,31,0.16129032258064516,false,82,0.2073170731707317,false,-1.5006743726089795,113,,1.9006743726089796,0.09462365591064516
