arm,source,n_plays,logloss,naive_logloss,improvement
without_hc,legacy,3583,0.3464005498354833,0.6930683103796792,0.3466677605441959
without_hc,legacy-sportapp,13063,0.37507541070935696,0.6900895946217961,0.3150141839124391
without_hc,__pooled__,16646,0.36890323562158284,0.6910952537636242,0.3221920181420414
with_hc,hc_workbook:offense-analytics-2026-camps-and-competitions:data,1097,0.3033281368270607,0.6791676940901521,0.3758395572630914
with_hc,hc_workbook:scoring-probability-by-situation-2023-2026:data,5630,0.3523114502200749,0.6892613867598448,0.33694993653976996
with_hc,legacy,3583,0.34401351276181963,0.6930683103796792,0.34905479761785957
with_hc,legacy-sportapp,13063,0.3670315775141789,0.6900895946217961,0.32305801710761717
with_hc,__pooled__,23373,0.3569673702191258,0.6914056870616786,0.3344383168425528
