index,season,competition_id,competition_name,competition_league,gender,game_id,game_type,game_group_id,game_group,half,summary,action_title,down,down_desc,down_after,down_after_desc,yards_to_go,yards_to_go_after,possession_time,home_team,away_team,home_score,away_score,stream_url,passer,receiver,rusher,tackle_player,interception_player,sack_player,play_result,penalty,safety,drive_id,play_id,half_end,play_type,complete_pass,interception,touchdown,point_after,point_after_success,def_touchdown,one_point_conv_success,two_point_conv_success,defensive_two_point_conv,scoring_play,posteam,defteam,posteam_after,defteam_after,yardline_50,yardline_50_after,yards_gained,yards_to_go_simple,first_down,scoring_play_team,home_team_points,away_team_points,home_team_score,away_team_score,posteam_score,defteam_score,score_differential
12594,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,1,#43 Hyojin Pak  sacked by #24 Emma Johnson for -6 yards to the KOR20. Time left 00:20,Sack,4,4th,1,1st,24,20,0:31,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,24,sack,0,0,7,40,0,pass,0,0,0,0,0,0,0,0,0,0,15,27,27,15,26,20,-6,5,0,,,,0,7,0,7,-7
12595,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,1,"#3 Taylor Leauanae Short right pass complete to #4 Sia Matai for 6 yards to the NZL11, #4 Sia Matai run for 8 yards<em> to</em><em> NZL19</em><em> for a gain of</em><em> 14</em><em> yards</em>, tackled by #10 Minju Kim",14 yard pass,1,1st,2,2nd,20,6,0:20,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,4,,10,,,complete,0,0,8,41,0,pass,1,0,0,0,0,0,0,0,0,0,27,15,27,15,5,19,14,4,0,,,,0,7,7,0,7
12596,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,1,New Zealand timeout. Time left 00:11,Timeout New Zealand,2,2nd,2,2nd,6,6,0:20,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,timeout,0,0,8,42,0,no_play,0,0,0,0,0,0,0,0,0,0,27,15,27,15,19,50,31,2,1,,,,0,7,7,0,7
12597,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,1,"#4 Sia Matai rush left for 12 yards, out of bounds<strong>. 1st down New Zealand</strong>",12 yard rush,2,2nd,1,1st,6,19,0:20,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,4,,,,rush,0,0,8,43,0,rush,0,0,0,0,0,0,0,0,0,0,27,15,27,15,19,31,12,2,1,,,,0,7,7,0,7
12598,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,1,"#3 Taylor Leauanae Deep middle pass incomplete to #13 Ellie McManaway, #9 Hyebin Park<strong>, penalty</strong> Korea Illegal contact defense, 9 yard penalty to KOR10<strong>. 1st down New Zealand</strong>",Pass incomplete,1,1st,1,1st,19,10,0:20,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,1,0,8,44,0,pass,0,0,0,0,0,0,0,0,0,0,27,15,27,15,31,40,9,4,0,,,,0,7,7,0,7
12599,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,1,#3 Taylor Leauanae Short right pass incomplete to #9 Jorja Mouat,Pass incomplete,1,1st,2,2nd,10,10,0:20,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,8,45,1,pass,0,0,0,0,0,0,0,0,0,0,27,15,27,15,40,40,0,2,0,,,,0,7,7,0,7
12600,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae Short middle pass complete to #6 Rosa Maanaima Matautia for 6 yards to the NZL11, #6 Rosa Maanaima Matautia run for 7 yards<em> to</em><em> NZL18</em><em> for a gain of</em><em> 13</em><em> yards</em>, out of bounds<strong>, penalty</strong> New Zealand Illegal Contact Offence, 2 yard penalty to NZL3, loss of down",-2 yard pass,1,1st,2,2nd,20,22,-6:-50,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,6,,,,,complete,1,0,9,46,0,pass,1,0,0,0,0,0,0,0,0,0,27,15,27,15,5,3,-2,4,0,,,,0,7,7,0,7
12601,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae Short right pass complete to #8 Isabeau Short-Wilcox for -1 yards to the NZL2, #8 Isabeau Short-Wilcox run for 7 yards<em> to</em><em> NZL9</em><em> for a gain of</em><em> 6</em><em> yards</em>, tackled by #10 Minju Kim",6 yard pass,2,2nd,3,3rd,22,16,-6:-50,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,8,,10,,,complete,0,0,9,47,0,pass,1,0,0,0,0,0,0,0,0,0,27,15,27,15,3,9,6,5,0,,,,0,7,7,0,7
12602,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,#3 Taylor Leauanae Short right pass incomplete to #6 Rosa Maanaima Matautia for 0 yards to the NZL24,Pass incomplete,3,3rd,4,4th,16,16,-6:-50,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,9,48,0,pass,0,0,0,0,0,0,0,0,0,0,27,15,27,15,9,9,0,4,0,,,,0,7,7,0,7
12603,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae rush left for 1 yards, tackled by #29 Woojung Kwak. Time left 17:50",null yard rush,4,4th,1,1st,16,20,-6:-50,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,3,29,,,rush,0,0,9,49,0,rush,0,0,0,0,0,0,0,0,0,0,27,15,15,27,9,10,1,4,0,,,,0,7,7,0,7
