down,distance_bin,distance_bin_source,field_half,value
2,21,read,own,0.369168357
2,22,read,own,0.3634719711
2,23,read,own,0.3017241379
2,24,read,own,0.3
2,3,read,own,0.7165354331
2,4,read,own,0.7022058824
2,5,read,own,0.6666666667
2,6,read,own,0.6611111111
2,7,read,own,0.6674311927
2,8,read,own,0.6721854305
2,9,read,own,0.657960199
3,1,read,own,0.749
3,10,read,own,0.4166666667
3,11,read,own,0.3987804878
3,12,read,own,0.3908872902
3,13,read,own,0.3760479042
3,14,read,own,0.3547963206
3,15,read,own,0.3370967742
3,16,read,own,0.3118040089
3,17,read,own,0.298013245
3,18,read,own,0.2508143322
3,19,read,own,0.2222222222
3,2,read,own,0.7063492063
3,20,read,own,0.195599022
3,21,read,own,0.1731448763
3,22,read,own,0.1547619048
3,23,read,own,0.1272727273
3,24,read,own,0.2051282051
3,3,read,own,0.6645885287
3,4,read,own,0.6334196891
3,5,read,own,0.614873838
3,6,read,own,0.5934640523
3,7,read,own,0.5587846764
3,8,read,own,0.5119798235
3,9,read,own,0.4530663329
4,1,read,own,0.5512010114
4,10,read,own,0.2543209877
4,11,read,own,0.225974026
4,12,read,own,0.2037533512
4,13,read,own,0.1652421652
4,14,read,own,0.1258278146
4,15,read,own,0.1020408163
4,16,read,own,0.08556149733
4,17,read,own,0.07518796992
4,18,read,own,0.0546875
4,19,read,own,0.05882352941
4,2,read,own,0.5174927114
4,20,read,own,0.06626506024
4,21,read,own,0.0703125
4,22,read,own,0.06593406593
4,23,read,own,0.0612244898
4,24,read,own,0.08571428571
4,3,read,own,0.47819063
4,4,read,own,0.452173913
4,5,read,own,0.4241908007
4,6,read,own,0.4077834179
4,7,read,own,0.3647469459
4,8,read,own,0.334622824
4,9,read,own,0.2793791574
