down,distance_bin,distance_bin_source,field_half,value
4,42,read,opponent,0.0
4,43,read,opponent,0.0
4,44,read,opponent,0.0
4,45,read,opponent,0.0
4,46,read,opponent,0.0
4,47,read,opponent,0.0
4,48,read,opponent,0.0
4,49,read,opponent,0.0
4,5,read,opponent,3.142857143
4,6,read,opponent,3.081570997
4,7,read,opponent,2.95862069
4,8,read,opponent,2.475836431
4,9,read,opponent,1.934693878
1,1,read,own,4.12987013
1,10,read,own,3.77245509
1,11,read,own,3.529411765
1,12,read,own,3.113924051
1,13,read,own,2.608695652
1,14,read,own,2.808510638
1,15,read,own,3.36
1,16,read,own,4.040816327
1,17,read,own,4.375
1,18,read,own,3.151428571
1,19,read,own,3.135018051
1,2,read,own,4.380952381
1,20,read,own,3.129006281
1,21,read,own,3.122184954
1,22,read,own,3.101028999
1,23,read,own,2.3125
1,24,read,own,2.285714286
1,3,read,own,4.396551724
1,4,read,own,4.088495575
1,5,read,own,3.509433962
1,6,read,own,3.391304348
1,7,read,own,3.75
1,8,read,own,4.12173913
1,9,read,own,4.041666667
2,1,read,own,4.392156863
2,10,read,own,3.797183099
2,11,read,own,3.627586207
2,12,read,own,3.436657682
2,13,read,own,3.217168482
2,14,read,own,3.049113233
2,15,read,own,2.881927711
2,16,read,own,2.778390298
2,17,read,own,2.554973822
2,18,read,own,2.289893617
2,19,read,own,2.210526316
2,2,read,own,4.351648352
2,20,read,own,2.233729881
2,21,read,own,2.215010142
2,22,read,own,2.180831826
2,23,read,own,1.810344828
2,24,read,own,1.8
2,3,read,own,4.299212598
2,4,read,own,4.213235294
2,5,read,own,4.0
2,6,read,own,3.966666667
2,7,read,own,4.004587156
2,8,read,own,4.033112583
2,9,read,own,3.947761194
3,1,read,own,4.494
3,10,read,own,2.5
3,11,read,own,2.392682927
3,12,read,own,2.345323741
3,13,read,own,2.256287425
3,14,read,own,2.128777924
3,15,read,own,2.022580645
3,16,read,own,1.870824053
3,17,read,own,1.78807947
3,18,read,own,1.504885993
3,19,read,own,1.333333333
3,2,read,own,4.238095238
3,20,read,own,1.173594132
3,21,read,own,1.038869258
3,22,read,own,0.9285714286
3,23,read,own,0.7636363636
3,24,read,own,1.230769231
3,3,read,own,3.987531172
3,4,read,own,3.800518135
3,5,read,own,3.689243028
3,6,read,own,3.560784314
3,7,read,own,3.352708058
3,8,read,own,3.071878941
3,9,read,own,2.718397997
4,1,read,own,3.307206068
4,10,read,own,1.525925926
4,11,read,own,1.355844156
4,12,read,own,1.222520107
4,13,read,own,0.9914529915
4,14,read,own,0.7549668874
4,15,read,own,0.612244898
4,16,read,own,0.513368984
4,17,read,own,0.4511278195
4,18,read,own,0.328125
4,19,read,own,0.3529411765
4,2,read,own,3.104956268
4,20,read,own,0.3975903614
4,21,read,own,0.421875
4,22,read,own,0.3956043956
4,23,read,own,0.3673469388
4,24,read,own,0.5142857143
4,3,read,own,2.86914378
4,4,read,own,2.713043478
4,5,read,own,2.545144804
4,6,read,own,2.446700508
4,7,read,own,2.188481675
4,8,read,own,2.007736944
4,9,read,own,1.676274945
