PLAY #;ODK;OFF FORM;Off Str;OFF PLAY;DN;DIST;YARD LN;RESULT;Drive Success;TARGET ROUTE;RECEIVED BY;GN/LS;Thrown By;YAC;QB;C;X/H;Y/CAT;Z;Target;Drop;B;yardline_50;game_id;play_id;drive_id;half;posteam
65;O;;;;4;7;-18;;0;;;11;;;;;;;;;;;18;14;65;15;2;TM2
66;O;;;;1;21;21;;0;;;9;;;;;;;;;;;29;14;66;15;2;TM2
67;O;;;;2;12;12;;0;;;8;;;;;;;;;;;38;14;67;15;2;TM2
68;O;;;;3;4;4;;0;;;3;;;;;;;;;;;46;14;68;15;2;TM2
69;O;;;;4;1;1;;0;;;;;;;;;;;;;;49;14;69;15;2;TM2
70;D;;;;1;20;-5;Incomplete;1;;;0;;;;;;;;;;;5;14;70;16;2;TM1
71;D;;;;2;20;-5;;1;;;7;;;;;;;;;;;5;14;71;16;2;TM1
72;D;;;;3;13;-12;Incomplete;1;;;0;;;;;;;;;;;12;14;72;16;2;TM1
73;D;;;;4;13;-12;;1;;;18;;;;;;;;;;;12;14;73;16;2;TM1
74;D;;;;1;20;20;Complete, TD;1;;;20;;;;;;;;;;;30;14;74;16;2;TM1
75;D;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;14;75;16;2;TM1
76;O;;;;1;20;-5;Penalty;;;;-3;;;;;;;;;;;5;14;76;17;2;TM2
77;O;;;;2;23;-2;;;;;17;;;;;;;;;;;2;14;77;17;2;TM2
78;O;;;;3;6;-19;Incomplete;;;;;;;;;;;;;;;19;14;78;17;2;TM2
1;D;;;;1;20;-5;;0;;;10;;;;;;;;;;;5;15;1;1;1;TM1
2;D;;;;2;10;-15;;0;;;5;;;;;;;;;;;15;15;2;1;1;TM1
3;D;;;;3;5;-20;;0;;;6;;;;;;;;;;;20;15;3;1;1;TM1
4;D;;;;1;24;24;;0;;;8;;;;;;;;;;;26;15;4;1;1;TM1
5;D;;;;2;16;16;;0;;;7;;;;;;;;;;;34;15;5;1;1;TM1
6;D;;;;3;9;9;Incomplete;0;;;0;;;;;;;;;;;41;15;6;1;1;TM1
7;D;;;;4;9;9;Incomplete;0;;;0;;;;;;;;;;;41;15;7;1;1;TM1
8;O;;;;1;20;-5;;1;;;8;;;;;;;;;;;5;15;8;2;1;TM2
9;O;;;;2;12;-13;Complete, TD;1;;;37;;;;;;;;;;;13;15;9;2;1;TM2
10;O;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;15;10;2;1;TM2
11;D;;;;1;20;-5;;0;;;0;;;;;;;;;;;5;15;11;3;1;TM1
12;D;;;;2;20;-5;;0;;;9;;;;;;;;;;;5;15;12;3;1;TM1
13;D;;;;3;11;-14;;0;;;5;;;;;;;;;;;14;15;13;3;1;TM1
14;D;;;;4;6;-19;;0;;;8;;;;;;;;;;;19;15;14;3;1;TM1
15;D;;;;1;23;23;Incomplete;0;;;0;;;;;;;;;;;27;15;15;3;1;TM1
16;D;;;;2;23;23;Incomplete;0;;;0;;;;;;;;;;;27;15;16;3;1;TM1
17;D;;;;3;23;23;Incomplete;0;;;0;;;;;;;;;;;27;15;17;3;1;TM1
18;D;;;;4;23;23;;0;;;8;;;;;;;;;;;27;15;18;3;1;TM1
19;O;;;;1;20;-5;;1;;;8;;;;;;;;;;;5;15;19;4;1;TM2
20;O;;;;2;12;-13;;1;;;10;;;;;;;;;;;13;15;20;4;1;TM2
21;O;;;;3;2;-23;;1;;;16;;;;;;;;;;;23;15;21;4;1;TM2
22;O;;;;1;11;11;Complete, TD;1;;;11;;;;;;;;;;;39;15;22;4;1;TM2
23;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;15;23;4;1;TM2
24;D;;;;1;20;-5;;0;;;10;;;;;;;;;;;5;15;24;5;1;TM1
25;D;;;;2;10;-15;;0;;;6;;;;;;;;;;;15;15;25;5;1;TM1
26;D;;;;3;4;-21;;0;;;10;;;;;;;;;;;21;15;26;5;1;TM1
27;D;;;;1;19;19;;0;;;6;;;;;;;;;;;31;15;27;5;1;TM1
28;D;;;;2;13;13;Incomplete;0;;;0;;;;;;;;;;;37;15;28;5;1;TM1
29;D;;;;3;13;13;Incomplete;0;;;0;;;;;;;;;;;37;15;29;5;1;TM1
30;D;;;;4;13;13;Incomplete;0;;;0;;;;;;;;;;;37;15;30;5;1;TM1
31;O;;;;1;20;-5;;1;;;8;;;;;;;;;;;5;15;31;6;1;TM2
32;O;;;;2;12;-13;Incomplete;1;;;0;;;;;;;;;;;13;15;32;6;1;TM2
33;O;;;;3;12;-13;;1;;;8;;;;;;;;;;;13;15;33;6;1;TM2
34;O;;;;4;4;-21;;1;;;6;;;;;;;;;;;21;15;34;6;1;TM2
35;O;;;;1;23;23;;1;;;3;;;;;;;;;;;27;15;35;6;1;TM2
36;O;;;;2;20;20;;1;;;11;;;;;;;;;;;30;15;36;6;1;TM2
37;O;;;;3;9;9;;1;;;0;;;;;;;;;;;41;15;37;6;1;TM2
38;O;;;;4;9;9;Penalty;1;;;5;;;;;;;;;;;41;15;38;6;1;TM2
39;O;;;;1;4;4;Complete, TD;1;;;4;;;;;;;;;;;46;15;39;6;1;TM2
40;O;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;15;40;6;1;TM2
41;D;;;;1;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;15;41;7;1;TM1
42;D;;;;2;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;15;42;7;1;TM1
43;D;;;;3;20;-5;;0;;;24;;;;;;;;;;;5;15;43;7;1;TM1
44;D;;;;1;21;21;;0;;;10;;;;;;;;;;;29;15;44;7;1;TM1
45;D;;;;2;11;11;Incomplete;0;;;0;;;;;;;;;;;39;15;45;7;1;TM1
46;D;;;;3;11;11;;0;;;8;;;;;;;;;;;39;15;46;7;1;TM1
47;D;;;;4;3;3;Penalty;0;;;-5;;;;;;;;;;;47;15;47;7;1;TM1
48;D;;;;4;8;8;Incomplete;0;;;0;;;;;;;;;;;42;15;48;7;1;TM1
49;O;;;;1;20;-5;;1;;;8;;;;;;;;;;;5;15;49;8;2;TM2
50;O;;;;2;12;-13;;1;;;11;;;;;;;;;;;13;15;50;8;2;TM2
51;O;;;;3;1;-24;Incomplete;1;;;0;;;;;;;;;;;24;15;51;8;2;TM2
52;O;;;;4;1;-24;;1;;;10;;;;;;;;;;;24;15;52;8;2;TM2
53;O;;;;1;16;16;;1;;;1;;;;;;;;;;;34;15;53;8;2;TM2
54;O;;;;2;15;15;Incomplete;1;;;0;;;;;;;;;;;35;15;54;8;2;TM2
55;O;;;;3;15;15;;1;;;10;;;;;;;;;;;35;15;55;8;2;TM2
56;O;;;;4;5;5;Complete, TD;1;;;5;;;;;;;;;;;45;15;56;8;2;TM2
57;O;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;15;57;8;2;TM2
58;D;;;;1;20;-5;;0;;;7;;;;;;;;;;;5;15;58;9;2;TM1
59;D;;;;2;13;-12;;0;;;8;;;;;;;;;;;12;15;59;9;2;TM1
60;D;;;;3;5;-20;;0;;;3;;;;;;;;;;;20;15;60;9;2;TM1
61;D;;;;4;2;-23;Incomplete;0;;;0;;;;;;;;;;;23;15;61;9;2;TM1
63;O;;;;1;20;-5;;1;;;13;;;;;;;;;;;5;15;62;10;2;TM2
64;O;;;;2;7;-18;Complete, TD;1;;;32;;;;;;;;;;;18;15;63;10;2;TM2
65;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;15;64;10;2;TM2
66;D;;;;1;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;15;65;11;2;TM1
67;D;;;;2;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;15;66;11;2;TM1
68;D;;;;3;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;15;67;11;2;TM1
69;D;;;;4;20;-5;;0;;;14;;;;;;;;;;;5;15;68;11;2;TM1
70;O;;;;1;20;-5;;1;;;13;;;;;;;;;;;5;15;69;12;2;TM2
71;O;;;;2;7;-18;Complete, TD;1;;;32;;;;;;;;;;;18;15;70;12;2;TM2
72;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;15;71;12;2;TM2
73;D;;;;1;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;15;72;13;2;TM1
74;D;;;;2;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;15;73;13;2;TM1
75;D;;;;3;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;15;74;13;2;TM1
76;D;;;;4;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;15;75;13;2;TM1
77;O;;;;1;20;-5;;0;;;13;;;;;;;;;;;5;15;76;14;2;TM2
78;O;;;;2;7;-18;;0;;;6;;;;;;;;;;;18;15;77;14;2;TM2
79;O;;;;3;1;-24;Interception;0;;;26;;;;;;;;;;;24;15;78;14;2;TM2
80;D;;;;1;20;-5;Interception;0;;;4;;;;;;;;;;;5;15;79;15;2;TM1
82;O;;;;1;9;9;Complete, TD;1;;;6;;;;;;;;;;;41;15;80;16;2;TM2
83;O;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;15;81;16;2;TM2
84;D;;;;1;20;-5;Penalty;;;;15;;;;;;;;;;;5;15;82;17;2;TM1
85;D;;;;2;5;-20;;;;;5;;;;;;;;;;;20;15;83;17;2;TM1
1;O;;;;1;20;-5;;1;;;18;;;;;;;;;;;5;16;1;1;1;TM2
3;O;;;;2;2;-23;Incomplete;1;;;0;;;;;;;;;;;23;16;2;1;1;TM2
4;O;;;;3;2;-23;Incomplete;1;;;0;;;;;;;;;;;23;16;3;1;1;TM2
5;O;;;;4;2;-23;;1;;;16;;;;;;;;;;;23;16;4;1;1;TM2
6;O;;;;1;11;11;Incomplete;1;;;0;;;;;;;;;;;39;16;5;1;1;TM2
7;O;;;;2;11;11;Incomplete;1;;;0;;;;;;;;;;;39;16;6;1;1;TM2
8;O;;;;3;11;11;Complete, TD;1;;;11;;;;;;;;;;;39;16;7;1;1;TM2
9;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;16;8;1;1;TM2
10;D;;;;1;20;-5;;1;;;6;;;;;;;;;;;5;16;9;2;1;TM1
11;D;;;;2;14;-11;Complete, TD;1;;;39;;;;;;;;;;;11;16;10;2;1;TM1
12;D;;;;0;20;-5;Good;1;;;;;;;;;;;;;;5;16;11;2;1;TM1
13;O;;;;1;20;-5;Incomplete;1;;;0;;;;;;;;;;;5;16;12;3;1;TM2
14;O;;;;2;20;-5;;1;;;16;;;;;;;;;;;5;16;13;3;1;TM2
15;O;;;;3;4;-21;;1;;;3;;;;;;;;;;;21;16;14;3;1;TM2
16;O;;;;4;1;-24;;1;;;6;;;;;;;;;;;24;16;15;3;1;TM2
17;O;;;;1;20;20;Incomplete;1;;;0;;;;;;;;;;;30;16;16;3;1;TM2
18;O;;;;2;20;20;;1;;;12;;;;;;;;;;;30;16;17;3;1;TM2
19;O;;;;3;8;8;Complete, TD;1;;;8;;;;;;;;;;;42;16;18;3;1;TM2
20;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;16;19;3;1;TM2
21;D;;;;1;20;-5;;1;;;16;;;;;;;;;;;5;16;20;4;1;TM1
22;D;;;;2;4;-21;Penalty;1;;;5;;;;;;;;;;;21;16;21;4;1;TM1
23;D;;;;1;24;24;Incomplete;1;;;0;;;;;;;;;;;26;16;22;4;1;TM1
24;D;;;;2;24;24;;1;;;18;;;;;;;;;;;26;16;23;4;1;TM1
25;D;;;;3;6;6;Complete, TD;1;;;6;;;;;;;;;;;44;16;24;4;1;TM1
26;D;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;16;25;4;1;TM1
27;O;;;;1;20;-5;Incomplete;1;;;0;;;;;;;;;;;5;16;26;5;1;TM2
28;O;;;;2;20;-5;;1;;;19;;;;;;;;;;;5;16;27;5;1;TM2
29;O;;;;3;1;-24;;1;;;5;;;;;;;;;;;24;16;28;5;1;TM2
30;O;;;;1;21;21;Complete, TD;1;;;21;;;;;;;;;;;29;16;29;5;1;TM2
31;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;16;30;5;1;TM2
32;D;;;;1;20;-5;;1;;;6;;;;;;;;;;;5;16;31;6;1;TM1
33;D;;;;2;14;-11;Incomplete;1;;;0;;;;;;;;;;;11;16;32;6;1;TM1
34;D;;;;3;14;-11;Incomplete;1;;;0;;;;;;;;;;;11;16;33;6;1;TM1
35;D;;;;4;14;-11;;1;;;13;;;;;;;;;;;11;16;34;6;1;TM1
36;D;;;;1;24;-24;;1;;;5;;;;;;;;;;;24;16;35;6;1;TM1
37;D;;;;1;10;21;Complete, TD;1;;;21;;;;;;;;;;;29;16;36;6;1;TM1
38;D;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;16;37;6;1;TM1
39;O;;;;1;20;-5;;0;;;7;;;;;;;;;;;5;16;38;7;1;TM2
40;O;;;;2;13;-12;;0;;;4;;;;;;;;;;;12;16;39;7;1;TM2
41;O;;;;3;9;-16;Interception;0;;;5;;;;;;;;;;;16;16;40;7;1;TM2
42;D;;;;1;11;11;Complete, TD;1;;;11;;;;;;;;;;;39;16;41;8;1;TM1
43;D;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;16;42;8;1;TM1
44;O;;;;1;20;-5;Incomplete;0;;;;;;;;;;;;;;5;16;43;9;1;TM2
45;D;;;;1;20;-5;Incomplete;1;;;0;;;;;;;;;;;5;16;44;10;2;TM1
46;D;;;;2;20;-5;;1;;;9;;;;;;;;;;;5;16;45;10;2;TM1
47;D;;;;3;11;-14;;1;;;14;;;;;;;;;;;14;16;46;10;2;TM1
48;D;;;;1;10;22;Complete, TD;1;;;22;;;;;;;;;;;28;16;47;10;2;TM1
49;D;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;16;48;10;2;TM1
50;O;;;;1;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;16;49;11;2;TM2
51;O;;;;2;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;16;50;11;2;TM2
52;O;;;;3;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;16;51;11;2;TM2
53;O;;;;4;20;-5;;0;;;14;;;;;;;;;;;5;16;52;11;2;TM2
54;D;;;;1;20;-5;;1;;;13;;;;;;;;;;;5;16;53;12;2;TM1
55;D;;;;2;7;-18;Complete, TD;1;;;32;;;;;;;;;;;18;16;54;12;2;TM1
56;D;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;16;55;12;2;TM1
57;O;;;;1;20;-5;;0;;;13;;;;;;;;;;;5;16;56;13;2;TM2
58;O;;;;2;7;-18;Incomplete;0;;;0;;;;;;;;;;;18;16;57;13;2;TM2
59;O;;;;3;7;-18;Incomplete;0;;;0;;;;;;;;;;;18;16;58;13;2;TM2
60;O;;;;4;7;-18;Incomplete;0;;;0;;;;;;;;;;;18;16;59;13;2;TM2
61;D;;;;1;20;-5;;0;;;7;;;;;;;;;;;5;16;60;14;2;TM1
62;D;;;;2;13;-12;Incomplete;0;;;0;;;;;;;;;;;12;16;61;14;2;TM1
63;D;;;;3;13;-12;;0;;;8;;;;;;;;;;;12;16;62;14;2;TM1
64;D;;;;4;5;-20;Incomplete;0;;;0;;;;;;;;;;;20;16;63;14;2;TM1
65;O;;;;1;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;16;64;15;2;TM2
66;O;;;;2;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;16;65;15;2;TM2
67;O;;;;3;20;-5;Incomplete;0;;;0;;;;;;;;;;;5;16;66;15;2;TM2
68;O;;;;4;20;-5;;0;;;7;;;;;;;;;;;5;16;67;15;2;TM2
69;D;;;;1;20;-5;;0;;;6;;;;;;;;;;;5;16;68;16;2;TM1
70;D;;;;2;14;-11;;0;;;6;;;;;;;;;;;11;16;69;16;2;TM1
71;D;;;;3;8;-17;Sack;0;;;-8;;;;;;;;;;;17;16;70;16;2;TM1
72;D;;;;4;16;-9;;0;;;29;;;;;;;;;;;9;16;71;16;2;TM1
73;D;;;;1;12;12;;0;;;-5;;;;;;;;;;;38;16;72;16;2;TM1
74;D;;;;2;17;17;Incomplete;0;;;0;;;;;;;;;;;33;16;73;16;2;TM1
75;D;;;;3;17;17;Interception;0;;;1;;;;;;;;;;;33;16;74;16;2;TM1
76;O;;;;1;9;-16;;1;;;15;;;;;;;;;;;16;16;75;17;2;TM2
77;O;;;;1;10;19;;1;;;15;;;;;;;;;;;31;16;76;17;2;TM2
78;O;;;;1;4;4;Incomplete;1;;;0;;;;;;;;;;;46;16;77;17;2;TM2
79;O;;;;2;4;4;Incomplete;1;;;0;;;;;;;;;;;46;16;78;17;2;TM2
80;O;;;;3;4;4;;1;;;3;;;;;;;;;;;46;16;79;17;2;TM2
81;O;;;;4;1;1;Complete, TD;1;;;1;;;;;;;;;;;49;16;80;17;2;TM2
82;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;16;81;17;2;TM2
83;D;;;;1;20;-5;;;;;9;;;;;;;;;;;5;16;82;18;2;TM1
1;O;;;;1;20;-5;;1;;;7;;;;;;;;;;;5;17;1;1;1;TM2
2;O;;;;2;13;-12;;1;;;4;;;;;;;;;;;12;17;2;1;1;TM2
3;O;;;;3;9;-16;;1;;;6;;;;;;;;;;;16;17;3;1;1;TM2
4;O;;;;4;3;-22;;1;;;5;;;;;;;;;;;22;17;4;1;1;TM2
5;O;;;;1;23;23;;1;;;12;;;;;;;;;;;27;17;5;1;1;TM2
6;O;;;;2;11;11;Complete, TD;1;;;11;;;;;;;;;;;39;17;6;1;1;TM2
7;O;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;17;7;1;1;TM2
8;D;;;;1;20;-5;;1;;;7;;;;;;;;;;;5;17;8;2;1;TM1
9;D;;;;2;13;-12;;1;;;6;;;;;;;;;;;12;17;9;2;1;TM1
10;D;;;;3;7;-18;Penalty;1;;;-5;;;;;;;;;;;18;17;10;2;1;TM1
11;D;;;;4;12;-13;;1;;;20;;;;;;;;;;;13;17;11;2;1;TM1
12;D;;;;1;17;17;Penalty;1;;;-5;;;;;;;;;;;33;17;12;2;1;TM1
13;D;;;;1;22;22;;1;;;10;;;;;;;;;;;28;17;13;2;1;TM1
14;D;;;;2;12;12;;1;;;6;;;;;;;;;;;38;17;14;2;1;TM1
15;D;;;;3;6;6;Complete, TD;1;;;6;;;;;;;;;;;44;17;15;2;1;TM1
16;D;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;17;16;2;1;TM1
17;O;;;;1;20;-5;;1;;;3;;;;;;;;;;;5;17;17;3;1;TM2
18;O;;;;2;17;-8;Incomplete;1;;;0;;;;;;;;;;;8;17;18;3;1;TM2
19;O;;;;3;17;-8;;1;;;6;;;;;;;;;;;8;17;19;3;1;TM2
20;O;;;;4;11;-14;Complete, TD;1;;;36;;;;;;;;;;;14;17;20;3;1;TM2
21;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;17;21;3;1;TM2
22;D;;;;1;20;-5;;0;;;7;;;;;;;;;;;5;17;22;4;1;TM1
23;D;;;;2;13;-12;Incomplete;0;;;0;;;;;;;;;;;12;17;23;4;1;TM1
24;D;;;;3;13;-12;Incomplete;0;;;0;;;;;;;;;;;12;17;24;4;1;TM1
25;D;;;;4;13;-12;;0;;;10;;;;;;;;;;;12;17;25;4;1;TM1
26;O;;;;1;20;-5;;0;;;4;;;;;;;;;;;5;17;26;5;1;TM2
27;O;;;;2;16;-9;;0;;;7;;;;;;;;;;;9;17;27;5;1;TM2
28;O;;;;3;9;-16;Penalty;0;;;-10;;;;;;;;;;;16;17;28;5;1;TM2
29;O;;;;4;19;-6;Incomplete;0;;;0;;;;;;;;;;;6;17;29;5;1;TM2
30;D;;;;1;20;-5;;1;;;15;;;;;;;;;;;5;17;30;6;1;TM1
31;D;;;;2;5;-20;;1;;;11;;;;;;;;;;;20;17;31;6;1;TM1
32;D;;;;1;19;19;Complete, TD;1;;;14;;;;;;;;;;;31;17;32;6;1;TM1
33;D;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;17;33;6;1;TM1
34;O;;;;1;20;-5;;;;;3;;;;;;;;;;;5;17;34;7;1;TM2
35;O;;;;2;17;-8;;;;;21;;;;;;;;;;;8;17;35;7;1;TM2
36;O;;;;1;21;21;;;;;7;;;;;;;;;;;29;17;36;7;1;TM2
37;O;;;;2;14;14;;;;;8;;;;;;;;;;;36;17;37;7;1;TM2
38;O;;;;3;6;6;;;;;;;;;;;;;;;;44;17;38;7;1;TM2
39;D;;;;1;20;-5;;1;;;10;;;;;;;;;;;5;17;39;8;1;TM1
40;D;;;;2;10;-15;;1;;;6;;;;;;;;;;;15;17;40;8;1;TM1
41;D;;;;3;4;-21;;1;;;8;;;;;;;;;;;21;17;41;8;1;TM1
42;D;;;;1;21;21;Complete, TD;1;;;21;;;;;;;;;;;29;17;42;8;1;TM1
43;D;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;17;43;8;1;TM1
44;O;;;;1;20;-5;;1;;;16;;;;;;;;;;;5;17;44;9;1;TM2
45;O;;;;2;4;-21;;1;;;10;;;;;;;;;;;21;17;45;9;1;TM2
46;O;;;;1;19;19;;1;;;3;;;;;;;;;;;31;17;46;9;1;TM2
47;O;;;;2;16;16;Complete, TD;1;;;16;;;;;;;;;;;34;17;47;9;1;TM2
48;O;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;17;48;9;1;TM2
49;D;;;;1;20;-5;;1;;;17;;;;;;;;;;;5;17;49;10;1;TM1
50;D;;;;1;3;-22;;1;;;7;;;;;;;;;;;22;17;50;10;2;TM1
51;D;;;;1;21;21;;1;;;17;;;;;;;;;;;29;17;51;10;2;TM1
52;D;;;;1;4;4;Incomplete;1;;;0;;;;;;;;;;;46;17;52;10;2;TM1
53;D;;;;2;4;4;Complete, TD;1;;;4;;;;;;;;;;;46;17;53;10;2;TM1
54;D;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;17;54;10;2;TM1
55;O;;;;1;23;-2;;;;;4;;;;;;;;;;;2;17;55;11;2;TM2
56;O;;;;2;19;-6;Incomplete;;;;0;;;;;;;;;;;6;17;56;11;2;TM2
57;O;;;;3;19;-6;;;;;10;;;;;;;;;;;6;17;57;11;2;TM2
58;O;;;;4;9;-16;;;;;20;;;;;;;;;;;16;17;58;11;2;TM2
59;O;;;;1;14;14;;;;;6;;;;;;;;;;;36;17;59;11;2;TM2
60;O;;;;2;8;8;Incomplete;;;;0;;;;;;;;;;;42;17;60;11;2;TM2
61;O;;;;3;8;8;;;;;5;;;;;;;;;;;42;17;61;11;2;TM2
62;O;;;;4;3;3;Incomplete;;;;0;;;;;;;;;;;47;17;62;11;2;TM2
63;D;;;;1;20;-5;;;;;7;;;;;;;;;;;5;17;63;12;2;TM1
64;D;;;;2;13;-12;;;;;9;;;;;;;;;;;12;17;64;12;2;TM1
65;D;;;;3;4;-21;;;;;8;;;;;;;;;;;21;17;65;12;2;TM1
66;D;;;;1;21;21;;;;;6;;;;;;;;;;;29;17;66;12;2;TM1
67;D;;;;2;15;15;;;;;7;;;;;;;;;;;35;17;67;12;2;TM1
68;D;;;;3;8;8;;;;;5;;;;;;;;;;;42;17;68;12;2;TM1
69;D;;;;4;3;3;Penalty;;;;-5;;;;;;;;;;;47;17;69;12;2;TM1
70;D;;;;4;8;8;;;;;-2;;;;;;;;;;;42;17;70;12;2;TM1
1;D;;;;1;20;-5;Penalty;0;;;1;;;;;;;;;;;5;18;1;1;1;TM1
2;D;;;;2;19;-6;;0;;;4;;;;;;;;;;;6;18;2;1;1;TM1
3;D;;;;3;15;-10;;0;;;1;;;;;;;;;;;10;18;3;1;1;TM1
4;D;;;;4;14;-11;;0;;;;;;;;;;;;;;11;18;4;1;1;TM1
5;O;;;;1;20;-5;;1;;;11;;;;;;;;;;;5;18;5;2;1;TM2
6;O;;;;2;9;-16;Penalty;1;;;10;;;;;;;;;;;16;18;6;2;1;TM2
7;O;;;;1;24;24;Incomplete;1;;;0;;;;;;;;;;;26;18;7;2;1;TM2
8;O;;;;2;24;24;;1;;;13;;;;;;;;;;;26;18;8;2;1;TM2
9;O;;;;3;11;11;;1;;;6;;;;;;;;;;;39;18;9;2;1;TM2
10;O;;;;4;5;5;Complete, TD;1;;;5;;;;;;;;;;;45;18;10;3;1;TM2
11;O;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;18;11;3;1;TM2
12;D;;;;1;23;-2;;1;;;15;;;;;;;;;;;2;18;12;4;1;TM1
13;D;;;;2;8;-17;;1;;;6;;;;;;;;;;;17;18;13;4;1;TM1
14;D;;;;3;2;-23;;1;;;11;;;;;;;;;;;23;18;14;4;1;TM1
15;D;;;;1;16;16;;1;;;11;;;;;;;;;;;34;18;15;4;1;TM1
16;D;;;;2;5;5;Incomplete;1;;;0;;;;;;;;;;;45;18;16;4;1;TM1
17;D;;;;3;5;5;Complete, TD;1;;;5;;;;;;;;;;;45;18;17;4;1;TM1
18;D;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;18;18;4;1;TM1
19;O;;;;1;20;-5;;1;;;12;;;;;;;;;;;5;18;19;5;1;TM2
20;O;;;;2;8;-17;Incomplete;1;;;0;;;;;;;;;;;17;18;20;5;1;TM2
21;O;;;;3;8;-17;;1;;;4;;;;;;;;;;;17;18;21;5;1;TM2
22;O;;;;4;4;-21;;1;;;6;;;;;;;;;;;21;18;22;5;1;TM2
23;O;;;;1;23;23;Complete, TD;1;;;23;;;;;;;;;;;27;18;23;5;1;TM2
24;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;18;24;5;1;TM2
25;D;;;;1;20;-5;;0;;;9;;;;;;;;;;;5;18;25;6;1;TM1
26;D;;;;2;11;-14;;0;;;6;;;;;;;;;;;14;18;26;6;1;TM1
27;D;;;;3;5;-20;;0;;;4;;;;;;;;;;;20;18;27;6;1;TM1
28;D;;;;4;1;-24;Interception;0;;;-10;;;;;;;;;;;24;18;28;6;1;TM1
29;O;;;;1;14;14;;1;;;7;;;;;;;;;;;36;18;29;7;1;TM2
30;O;;;;2;7;7;Penalty;1;;;-10;;;;;;;;;;;43;18;30;7;1;TM2
31;O;;;;3;17;17;Complete, TD;1;;;17;;;;;;;;;;;33;18;31;7;1;TM2
32;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;18;32;7;1;TM2
33;D;;;;1;20;-5;Interception;0;;;7;;;;;;;;;;;5;18;33;8;1;TM1
34;O;;;;1;12;12;Complete, TD;1;;;12;;;;;;;;;;;38;18;34;9;1;TM2
35;O;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;18;35;9;1;TM2
36;D;;;;1;20;-5;;0;;;6;;;;;;;;;;;5;18;36;10;1;TM1
37;D;;;;2;14;-11;Incomplete;0;;;0;;;;;;;;;;;11;18;37;10;1;TM1
38;D;;;;3;14;-11;;0;;;15;;;;;;;;;;;11;18;38;10;1;TM1
39;D;;;;1;24;24;;0;;;1;;;;;;;;;;;26;18;39;10;1;TM1
40;D;;;;2;23;23;Incomplete;0;;;0;;;;;;;;;;;27;18;40;10;1;TM1
41;D;;;;3;23;23;;0;;;9;;;;;;;;;;;27;18;41;10;1;TM1
42;D;;;;4;14;14;Incomplete;0;;;0;;;;;;;;;;;36;18;42;10;1;TM1
43;O;;;;1;20;-5;Incomplete;1;;;0;;;;;;;;;;;5;18;43;11;1;TM2
44;O;;;;2;20;-5;;1;;;7;;;;;;;;;;;5;18;44;11;1;TM2
45;O;;;;3;13;-12;Incomplete;1;;;0;;;;;;;;;;;12;18;45;11;1;TM2
46;O;;;;4;13;-12;;1;;;14;;;;;;;;;;;12;18;46;11;1;TM2
47;O;;;;1;24;24;;1;;;10;;;;;;;;;;;26;18;47;11;1;TM2
