PLAY #;ODK;OFF FORM;Off Str;OFF PLAY;DN;DIST;YARD LN;RESULT;Drive Success;TARGET ROUTE;RECEIVED BY;GN/LS;Thrown By;YAC;QB;C;X/H;Y/CAT;Z;Target;Drop;B;yardline_50;game_id;play_id;drive_id;half;posteam
49;;;;;2;19;19;;1;;;7;;;;;;;;;;;31;1;50;10;2;OPP
50;;;;;3;12;12;;1;;;6;;;;;;;;;;;38;1;51;10;2;OPP
51;;;;;4;6;6;Complete, TD;1;;;6;;;;;;;;;;;44;1;52;10;2;OPP
52;;;;;0;5;5;;1;;;;;;;;;;;;;;45;1;53;10;2;OPP
53;Pile Right;Pile;Right;Slot Dig;1;20;-5;Complete;1;CURL OUT;RIESS;13;THIELE;8;;;;;;RIESS;;;5;1;54;11;2;GER
54;Slot Right;Slot;Right;Snake JET;2;7;-18;Rush;1;;RIESS;6;;;;;;;;RIESS;;;18;1;55;11;2;GER
55;Slot Left;Slot;Left;Dagger;3;1;-24;Complete;1;DIG;SPIES;16;THIELE;5;;;;;;SPIES;;;24;1;56;11;2;GER
56;Slot Right;Slot;Right;Dagger;1;10;10;Complete, TD;1;DIG;SPIES;10;THIELE;1;;;;;;;;;40;1;57;11;2;GER
57;Slot Left;Slot;Left;Dagger;0;10;10;Good;0;DIG;SPIES;10;THIELE;0;;;;;;SPIES;;;40;1;58;11;2;GER
58;;;;;1;20;-5;Penalty;;;;0;;;;;;;;;;;5;1;59;12;2;OPP
59;;;;;1;20;-5;;1;;;7;;;;;;;;;;;5;1;60;12;2;OPP
60;;;;;2;13;-12;;1;;;18;;;;;;;;;;;12;1;61;12;2;OPP
61;;;;;1;20;20;Incomplete;1;;;0;;;;;;;;;;;30;1;62;12;2;OPP
62;;;;;2;20;20;;1;;;10;;;;;;;;;;;30;1;63;12;2;OPP
63;;;;;3;10;10;;1;;;7;;;;;;;;;;;40;1;64;12;2;OPP
64;;;;;4;3;3;Complete, TD;1;;;3;;;;;;;;;;;47;1;65;12;2;OPP
65;;;;;0;5;5;;1;;;;;;;;;;;;;;45;1;66;12;2;OPP
66;Slot Right;Slot;Right;Sail;1;20;-5;Complete;0;OUT;PIETRYGA;8;THIELE;0;;;;;;PIETRYGA;;;5;1;67;13;2;GER
67;Slot Right;Slot;Right;Dagger;2;12;-13;Complete;0;DIG;SPIES;14;THIELE;4;;;;;;SPIES;;;13;1;68;13;2;GER
68;Slot Right;Slot;Right;Snake Rolex;1;23;23;Sack;0;;;-3;;;;;;;;;;;27;1;69;13;2;GER
69;Slot Left;Slot;Left;Sail;2;26;26;Complete;0;SHALLOW;RIESS;13;THIELE;10;;;;;;RIESS;;;24;1;70;13;2;GER
70;Slot Right;Slot;Right;Snake Rolex;3;13;13;Complete;0;SHALLOW;SPIES;6;STEVENS;1;;;;;;SPIES;;;37;1;71;13;2;GER
71;Pile Left;Pile;Left;Swap Smash;4;7;7;Sack;0;;;;;;;;;;;;;;43;1;72;13;2;GER
72;;;;;1;20;-5;;1;;;7;;;;;;;;;;;5;1;73;14;2;OPP
73;;;;;2;13;-12;;1;;;6;;;;;;;;;;;12;1;74;14;2;OPP
74;;;;;3;7;-18;;1;;;0;;;;;;;;;;;18;1;75;14;2;OPP
75;;;;;4;7;-18;;1;;;17;;;;;;;;;;;18;1;76;14;2;OPP
76;;;;;1;15;15;;1;;;10;;;;;;;;;;;35;1;77;14;2;OPP
77;;;;;2;5;5;;1;;;0;;;;;;;;;;;45;1;78;14;2;OPP
78;;;;;3;5;5;Complete, TD;1;;;5;;;;;;;;;;;45;1;79;14;2;OPP
79;;;;;0;5;5;;1;;;;;;;;;;;;;;45;1;80;14;2;OPP
80;Slot Left;Slot;Left;Dagger;1;20;-5;Complete;1;SCRAMBLE;RIESS;19;THIELE;0;;;;;;RIESS;;;5;1;81;15;2;GER
81;Slot Left;Slot;Left;Sail;2;1;-24;Complete;1;SAIL;SPIES;9;THIELE;0;;;;;;SPIES;;;24;1;82;15;2;GER
82;Slot Right;Slot;Right;Snake Rolex;1;17;17;Complete;1;SCRAMBLE;PIETRYGA;12;THIELE;2;;;;;;PIETRYGA;;;33;1;83;15;2;GER
83;Slot Right;Slot;Right;STICK;2;5;5;Complete, TD;1;HITCH;PIETRYGA;5;THIELE;0;;;;;;PIETRYGA;;;45;1;84;15;2;GER
84;Slot Right;Slot;Right;Dagger;0;10;10;Incomplete;1;DIG;;0;THIELE;;;;;;;SPIES;;;40;1;85;15;2;GER
85;;;;;1;20;-5;;1;;;;;;;;;;;;;;5;1;86;16;2;OPP
1;;;;;1;20;-5;;1;;;9;;;;;;;;;;;5;2;1;1;1;OPP
2;;;;;2;11;-14;;1;;;8;;;;;;;;;;;14;2;2;1;1;OPP
3;;;;;3;3;-22;;1;;;5;;;;;;;;;;;22;2;3;1;1;OPP
4;;;;;1;23;23;;1;;;9;;;;;;;;;;;27;2;4;1;1;OPP
5;;;;;2;14;14;;1;;;6;;;;;;;;;;;36;2;5;1;1;OPP
6;;;;;3;8;8;Complete, TD;1;;;8;;;;;;;;;;;42;2;6;1;1;OPP
7;;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;2;7;1;1;OPP
8;OFF FORM;Slot;Right;Sail;1;20;-5;Complete;1;SHALLOW;RIESS;5;THIELE;2;;;;;;RIESS;;;5;2;8;2;1;GER
